words,person,entertain,disease,singers,books,politician,athletes,actor_m,actor_f
산부인과,,,,더 네임,,이병훈,박준서 (야구인),서은광,김세온
네이버,,,,더 준,,이상직,박지철,정수한,박시우
연극,,,,더 필름,,이성만,박진 (야구 선수),왕석현,배연정
뺑소니,,,,더원 (가수),,이소영,박진형,차도진,강서연
손님,,,,덕인,,이수진,박태호 (야구인),양흥주,고수진
진상규명,,,,도건우,,이영,박한길,조재윤,김난주 (배우)
알파고,,,,도겸 (가수),,이용빈,박헌도,이완 (배우),김다미
차례,,,,도민,,이용선,박현승,레오 (가수),한세아
해병대,,,,도민호,,이용우,박휘성,이재균 (배우),한지은 (배우)
모멘트,,,,도영,,이원택,배경환,장미관,김지숙 (1956년)
사옥,,,,도운 (가수),,이장섭,배성근,한승윤,최수지
골든글로브,,,,도윤걸,,이정문,배장호,송경의,구자미
공릉,,,,도환,,이종성,배제성,금동현,윤소정 (배우)
탄원소,,,,동림 (가수),,이주환,백동훈 (야구 선수),허준 (1994년),윤유선
이광수,,,,동우석,,이탄희,제로니모 베로아,김희상,윤채이
비엔나쏘세지,,,,동윤 (가수),,이해식,변용선,김영필 (배우),이수아 (배우)
나연,,,,동해 (가수),,이형석,브라이언 마이로우,김범,수현 (2000년)
장티푸스,,,,동헌 (가수),,임오경,브록 다익손,장도윤,안소희
구월,,,,동현 (1989년),,임호선,라이언 사도스키,곽민규,김민서 (2009년)
동사무소,,,,동후,,장경태,서정호 (야구인),최리호,고아성
닭볶음탕,,,,디노 (1990년 12월),,장철민,서준원,하동준,박민영
에일리언,,,,디알,,전봉민,서한규,채태석,김새벽
조깅,,,,디오 (1993년),,전용기,성민국,정은우,최유란
이탈리아,,,,디즈,,전주혜,성준 (야구인),김수영 (희극인),서현 (1991년)
유기견,,,,디함,,정경희,손길호,신정환,차승연
갈등,,,,라디,,정동만,손동일,신준철,김화영
인테리어,,,,래피 (1975년),,정일영,손민한,윤종빈 (배우),이가경
공덕,,,,레드락 (음악가),,정정순,손성빈,김태희 (1972년),박산다라
스윗소로우,,,,레드애플,,정찬민,손승락,임채홍,전유경
루프,,,,레이븐 (가수),,정태호,손아섭,김정팔,정재연
선두타자,,,,렌 (가수),,정필모,손용석,윤주빈,윤미라
렉싱턴,,,,려욱,,정희용,손인호 (야구인),김진성 (배우),반소영
이모티콘,,,,로운,,조명희,손호광,이현 (1983년),안은진
광화문,,,,록현,,조오섭,송범섭,이성욱 (배우),정태리
이마,,,,루고 (가수),,조정훈,송보람 (야구인),최규진 (배우),김애라
삼성생명,,,,루빈 (1995년),,조태용,송승준,시원 (가수),추자현
애리조나,,,,류기진,,조해진,송재영,이중옥,박지영 (1969년)
서훈,,,,류시원,,주철현,송주은,방주환,백은경
베테랑,,,,류재현 (가수),,지성호,송창현,이찬희 (1986년),김설 (배우)
캐리어,,,,류지광,,천준호,송태일,이주승,심달기
장준환,,,,류케이,,최기상,신동훈 (야구 선수),이민호 (1987년),박신희
후안성,,,,류태준,,최승재,신명철,이원진 (배우),장준유
무용가,,,,쟈니리,,최연숙,신본기,안혁모,김미주
디스커버리,,,,리노 (가수),,최종윤,신용수,고강,박도연
살인,,,,리누,,최춘식,신종길,이동하 (배우),황현정 (배우)
가방,,,,리마리오,,최형두,심규범,김도건,김채은
김창렬,,,,리오 케이코아,,최혜영,심세준,장정연 (배우),하다솜
텀블러,,,,리온 (가수),,하영제,심수창,오경수,김주연 (1993년 배우)
우승,,,,리온 (음악가),,한기호,심재원 (야구인),박용우,안여진
박찬주,,,,리키 (가수),,한무경,심제훈,류상욱,채민희
제주,,,,마아성,,한병도,짐 아두치,김병국 (배우),김미려
캠페인,,,,마이킹,,한준호,안병학,노유민,노성은
녹사평,,,,마크툽,,허영,안중열,윤상현 (배우),배종옥
대우,,,,맹세창,,허은아,안창완,김동철 (배우),김연우 (배우)
머니,,,,명국환,,허종식,안치홍,김철윤,백은혜 (1986년)
안양,,,,명진 (가수),,홍기원,안태경,박민규 (배우),박신혜
혈액,,,,모세 (가수),,홍석준,애드리안 샘슨,조권,경수진
산길,,,,문관철,,홍성국,앤더슨 프랑코,박기만,박민지
무용,,,,문명진,,홍정민,앤디 번즈,정순원 (배우),옥고운
비빔냉면,,,,문문,,황보승희,훌리오 얀,정명제,이선빈
밀리언스,,,,문빈,,김영삼,양상문,김우혁,오민애
헤어롤,,,,문익 (가수),,은수미,양성제,김준삼,홍지윤 (배우)
램지,,,,문준영,,,양종민,양형호,공상아
김상순,,,,문지훈 (성악가),,,양형진,김서원,한희 (배우)
고랭지,,,,문한미루,,,엄정대,강영구,안소미
하태경,,,,문희준,,,마리오 엔카나시온,김성곤 (배우),윤주 (배우)
스피아민트,,,,뮤지,,,염종석,강인형 (배우),윤수
강남야구장,,,,미노 (가수),,,오대석,장효진,신은수
서울대공원,,,,미러보이,,,오명록,이승형,원미미
휴지통,,,,미러볼 (가수),,,오수호,정진 (1976년),유선애
도요타,,,,미스터 팡,,,오윤석 (야구 선수),이배국,성은채
티켓,,,,민경훈,,,오태곤,박종찬 (가수),김영옥 (배우)
일기,,,,민기 (가수),,,오현근,선웅,안소영 (1981년)
설문,,,,민성,,,크리스 옥스프링,박지빈,신혜선
영세업자,,,,민수 (1993년),,,우경하,김동원 (1984년),최유송
가혹행위,,,,민수현,,,유두열,김재록,방준서
원숭이,,,,민우 (1985년),,,셰인 유먼,이형구 (배우),전혜원
김지철,,,,민우혁,,,윤길현,금호석,권다현
최훈,,,,민찬,,,윤동배,김홍표,조상경 (1973년)
산악자전거,,,,민트소년,,,윤민철,문웅기,최수린
넥타이,,,,민혁 (가수),,,윤성빈 (야구 선수),김주헌,김지현 (배우)
빙그레,,,,민희 (2002년),,,윤수강,려운,수현 (배우)
몸무게,,,,찰리 박,,,윤학길,이지호 (배우),손슬기
고려인,,,,박강성,,,윤형배 (1969년),최이태,송지수
김상욱,,,,박광선,,,이강준 (야구 선수),양세종,이언정 (1977년)
박경수,,,,박광현 (배우),,,이경우 (야구 선수),성훈 (배우),문정희 (배우)
오이도,,,,박구윤,,,이계성,홍준기 (배우),이승리 (1995년)
체인블록,,,,박군,,,이광길,최민용,문숙 (배우)
작은어머니,,,,박규정 (가수),,,이대호,장소팔,김해주 (배우)
세금체납,,,,박기영 (1964년),,,이동수 (야구인),김민재 (1979년),황보미
한남동,,,,박남정,,,이동완,박병선 (배우),송이재 (배우)
석계,,,,박마루,,,이동욱 (야구인),조유신,천민희
아모레퍼시픽,,,,박명수,,,이동훈 (1981년),박찬우 (1983년),박세인
곽빈,,,,박문영,,,이명우 (야구인),최시훈,고서희
노딜,,,,박민 (가수),,,이명호 (야구 선수),최광제,최여진
디발라,,,,박상규 (가수),,,이문한,김서하,유세례
바이오,,,,박상민 (가수),,,이병규 (1983년),최다니엘,천이슬
파인텍,,,,박상우 (가수),,,이상목 (야구 선수),맹재렬,선우용여
대선토론,,,,박상철 (가수),,,이상번 (야구인),김영성,변주연
이승열,,,,박상훈 (1980년),,,이상호 (1989년),비 (가수),송인화
촛불,,,,박서진 (1995년),,,이상화 (1988년),유정호,주예림
올가을,,,,박서진 (가수),,,이상훈 (1971년 3월 21일),김경식 (배우),김신록
플스,,,,박선우,,,이석규 (야구 선수),윤양하,허은정
함덕주,,,,박성식,,,이성득 (야구인),최성용 (1994년),지누리
분리공시제,,,,박성환 (1982년),,,이성민 (야구 선수),배동성,김혜진 (1975년)
까치산,,,,박승일 (가수),,,이승재 (1983년),임정운,이도경 (1982년)
계란후라이,,,,박승화 (가수),,,이승준 (야구 선수),한무,박정연
베이징,,,,박시온,,,이승헌 (1998년),허재호 (배우),강민정 (1982년)
다현,,,,박시원 (1967년),,,이승호 (1981년),문진승,이유주
위구르족,,,,박시환 (가수),,,이여상,이재진 (1991년),이초희
젝스키스,,,,박신원 (기타리스트),,,이용훈 (야구인),곽시양,한유라
볼링,,,,박야성,,,이우민,서희승,정수지
노회찬,,,,박영록 (배우),,,이원녕,최성민 (1995년),정지아 (배우)
해안,,,,박완규,,,이원석 (1986년),김선익,노재신
이연화,,,,박용인,,,이인구 (야구인),박재광,김인이
복거일,,,,박용하,,,이인복 (야구 선수),임승준,이다인 (1985년)
미술관,,,,박우철,,,이재곤 (야구 선수),홍경인,예수정
방이,,,,박원상,,,이재율 (1986년),신수호,유예주
성폭행,,,,박유천,,,이정담,여승혁,김빈우
포켓몬,,,,박일 (성우),,,이정동,최건우,정선아 (배우)
티브이,,,,박일준,,,이정민 (1979년),최보민 (가수),최지연 (1974년)
메가박스,,,,박장근,,,이정훈 (1977년),한상조 (배우),조미녀
신더가드,,,,박장현,,,이종운 (1966년),황석하,손은서
이동국,,,,박재정 (가수),,,이종하,방정식 (배우),정소민
창동,,,,박재훈 (배우),,,이주찬,윤용준,한지민
바티칸,,,,박정수 (가수),,,이지모,반상윤,지소연 (배우)
국세청,,,,박정식 (가수),,,이찬건,황준원,반세정
펠프스,,,,박정운,,,이창진 (야구 선수),이주형 (배우),김민정 (1982년)
참전용사,,,,박종찬 (가수),,,이태오,최정우 (배우),하은진 (배우)
한화,,,,박주용 (가수),,,이학주 (야구 선수),김원진 (배우),허안나
센서,,,,박준식 (가수),,,이호연 (야구 선수),유이준,장솜이
졸업생,,,,박준하,,,임경완,이우석 (배우),이예림 (1995년)
이태경,,,,박지원 (음악가),,,임봉춘 (야구인),서병철,홍서영
신용산,,,,박지헌,,,임수혁,조용주,이주영 (1992년)
니코니코니,,,,박지훈 (가수),,,임종혁,박천국,조명진
폭스콘,,,,박진도,,,임호균,최우석 (배우),이승채 (배우)
경부고속도로,,,,박진섭 (가수),,,임훈 (야구인),원현준,최혁주
발렌타인,,,,박진영,,,장국헌,이명호 (배우),정이서
불고기,,,,박진원 (미술가),,,장두성,현봉식,이재은 (1980년)
쁘띠성형,,,,박창근 (가수),,,장성우,정경호 (1972년),정문영
심으뜸,,,,박태준 (웹툰 작가),,,장성호 (야구인),김원효,김태희
식비,,,,박태진 (가수),,,장시환,주지훈,고은아 (1988년)
백현,,,,박학기,,,장원삼,진유영,솔비
왕실,,,,박한근,,,장원준 (야구 선수),오만석 (1965년),이정은 (1970년)
세금,,,,박현빈,,,장정호,정천석 (배우),박유하 (배우)
랴오닝성,,,,박현호,,,장효조,최종남,이유영
닭꼬치,,,,박형석,,,전병우 (야구 선수),류대식,이시유 (배우)
빡빡이,,,,박형식,,,전봉석,김재철 (배우),김혜나
병천순대,,,,박형준 (배우),,,전종화,최성호 (배우),기도영
빛바네사,,,,박혜성,,,전준우,함신영,정혜정 (배우)
신한카드,,,,박효신,,,전준호 (1969년),김용희 (배우),천영민
임백준,,,,라이언 방,,,정구선,최세환,홍현희
이승준,,,,방예담,,,정대현 (1978년),김기복 (배우),이예은 (2007년)
임차인,,,,방준석,,,정보근,정수환 (1999년),이유미 (배우)
대위,,,,방찬,,,정보명,엄도일,라희
앨리스,,,,배금성,,,정성만,김희진 (1988년),이문정
이영표,,,,배기성,,,정성종,윤서현,김희정 (1992년)
신창,,,,배동성,,,정영기 (야구인),최현 (배우),유선 (배우)
현대모비스,,,,배상태,,,정우준,변준석,김유정 (배우)
이니스프리,,,,배성우 (가수),,,정원욱,한정우 (배우),최지나
김지호,,,,배승민,,,정인교 (야구인),백승현 (배우),박채경
무도,,,,배인혁,,,정재훈 (1980년),이정길 (1984년),원준희
성기,,,,배일호,,,정준혁,윤현민,박수연 (1979년)
물개,,,,배진영,,,정진식 (야구인),이지용 (배우),이지현 (1972년)
갓건배,,,,배철수,,,정태승,한범희,강보경
박정환,,,,배호,,,정호진 (야구인),허정도,양진성
공정위원장,,,,백겸 (가수),,,정훈 (야구 선수),이신영,한여름 (1983년)
이순신,,,,백년설,,,제이콥 윌슨,승엽,한채아
종전선언,,,,백봉기,,,제이크 톰슨,조달환,엄채영
이정후,,,,백상,,,조경환 (야구인),김병옥 (배우),박소정 (1973년)
여고생,,,,백순진,,,조규철 (야구인),김태민 (배우),오소현
몸통,,,,백야성,,,조무근,남태부,박환희
신내,,,,백영규,,,조성옥 (1961년),임주환,하연수
슈투트가르트,,,,백일하,,,조성환 (야구인),김산 (1984년),채정안
인삼,,,,백청강,,,조용철 (야구인),송강호,박지수 (1966년)
조혜정,,,,백현 (가수),,,조인신,강유석,임정은
하와이,,,,백현진,,,조정훈 (야구인),이승일 (배우),김희선
돈꽃,,,,백호 (가수),,,조현우 (야구 선수),방일수,임유진 (1974년)
살라,,,,범주 (가수),,,조홍석,서영주,이금주 (배우)
소스,,,,범진,,,주형광,송유하,심소헌
장마전선,,,,베이빌론 (가수),,,지시완,손현주,김미경 (배우)
집단면역,,,,변재원,,,진명호,홍상진,최민금
옥수수,,,,변준민,,,차동열,김수일,유주 (1997년 3월)
공지영,,,,변지훈,,,차영석 (야구인),김영재 (1975년),이자은
리플,,,,변진섭,,,차재용,김욱,차수민
발리,,,,봉구,,,찰리 반스,남궁민 (배우),혜리
수도승,,,,봉재현,,,채태인,박동현,서린
도장,,,,붐 (방송인),,,천창호,김도완 (배우),이나리 (배우)
소염제,,,,뷔,,,최건 (야구 선수),심신,배다빈
왕진진,,,,브라더수,,,최경환 (야구인),이석 (배우),보혜
노원,,,,브이원,,,최계영,김진엽,임은경
은지원,,,,비 (가수),,,최기문 (야구인),오현중,전세현
허리,,,,비범,,,최길성,이상홍 (배우),이미도 (배우)
병역기피자,,,,비비 (대한민국의 싱어송라이터),,,최대성,성주 (가수),안혜경 (음악가)
부천,,,,빅나티,,,최동원,강재은,진기주
트뤼도,,,,빅디디,,,최만호,이경영 (1958년),유다미
유섬나,,,,빅톤 (음악가),,,최민재,나철 (배우),윤상정
토론회,,,,빈센트 (가수),,,최영환 (1992년),민우 (1995년),박신영 (배우)
축구공,,,,피터 빈트,,,최종은,이수혁 (배우),장지은 (배우)
나종덕,,,,산 (가수),,,최준석 (야구인),이순재,박예슬
강민혁,,,,산들,,,최준용 (2001년),신담수,조민아 (2002년)
두바이,,,,산체스 (래퍼),,,최하늘,안재욱,이주화
김유정,,,,상연,,,최향남,최경훈 (배우),전미도
오지배,,,,상일 (가수),,,최혁권,안승균,허영란
곽시양,,,,샤오 (가수),,,최환인,권혁범,박수연 (1991년)
정상회담,,,,서동성,,,추상완,오륭,김윤경 (1976년)
미아동,,,,서사무엘,,,추재현,공유 (배우),선우선
약국,,,,서상억,,,카나야마,이황의,최자혜
아리아나,,,,서석진,,,카를로스 아수아헤,최귀화,채민서
풍등,,,,서성혁,,,호세 카브레라,김형준 (희극인),이주영 (1987년)
